transaction_number,customer_number,item_name,sale_amount
12671,2929,MISCELLANEOUS,414
11983,2500,FOOD31,124
18877,4360,FOOD4,346.5
32105,6572,AMERICAN HOT COFFEE,176
24837,10446,FOOD9,165.5
14091,2840,#N/A,96.5
4319,3448,FLAVOURED TEA3,508.5
27507,317,MISCELLANEOUS,246
23225,1128,FOOD6,204
26941,4313,MISCELLANEOUS,302
24125,5023,FLAVOURED TEA11,216
16253,10679,REGULAR HOT COFFEE,66
12627,7808,#N/A,419
31497,9912,MISCELLANEOUS,230.5
14501,10340,COMBO130,408.5
27497,2566,VANILLA ICE CREAMS,878
7159,10159,AMERICAN HOT COFFEE,14.5
12361,2166,ICE CREAM8,441
27467,14,ARABIAN HOT COFFEE,228
14307,6656,FRAPPE,75.5
4073,1790,TOPPING SYRUPS,154.5
6131,5817,DARK COLD COFFEE,208
33673,7754,MISCELLANEOUS,200.5
4237,1871,ARABIAN HOT COFFEE,218
25911,5657,#N/A,314
28065,3569,OTHER HOT DRINKS,374
12185,7430,AMERICAN HOT COFFEE,123
29203,7653,#N/A,160
28737,2586,FRAPPE,75.5
7087,4717,MISCELLANEOUS,179.5
21997,2790,COMBO39,161.5
31071,10217,AMERICAN HOT COFFEE,348.5
5771,2388,FOOD139,480.5
14653,2573,LATTE SHOT,622
15937,6238,CHEESE SLICE,711.5
9587,413,MISCELLANEOUS,49.5
14399,2401,ESPRESSO HOT COFFEE,51.5
16483,1204,FRAPPE,254.5
28643,3585,MISCELLANEOUS,191
9439,197,FOOD133,351
14221,4723,BRAZILIAN HOT COFFEE,105
22557,6333,FRAPPE,172
20951,10293,FOOD36,325
20867,2112,WHIPPED CREAM,415
2969,63,FOOD119,623
919,6053,FRAPPE,190
17429,9624,AMERICAN HOT COFFEE,81.5
13849,7103,MILKSHAKE,220.5
10439,4594,FOOD133,257
29099,8041,FOOD125,187.5
24413,1374,FOOD119,151
14783,3385,FLAVOURED HTO COFFEE,173
20603,2907,MISCELLANEOUS,617.5
31689,9713,HOT CAPPUCCINO,139.5
19309,7731,COMBO49,339.5
1659,6826,COOL BLUE,450
33937,5492,VANILLA ICE CREAMS,410.5
23433,6379,#N/A,219
20283,2430,MILKSHAKE,426
3483,158,FLAVOURED TEA1,175
21571,548,AMERICAN HOT COFFEE,29.5
28443,2087,FOOD1,312.5
3163,3959,VANILLA ICE CREAMS,113.5
26849,9041,FOOD6,343.5
4143,10043,FLAVOURED FRAPPE,84.5
14657,9097,MISCELLANEOUS,512
19781,6734,MISCELLANEOUS,363.5
17245,2030,VANILLA ICE CREAMS,225
6699,6889,COMBO6,188.5
7435,4543,ARABIAN HOT COFFEE,211.5
4845,3665,HOT TEA,39.5
12495,4502,AMERICAN HOT COFFEE,718
8523,3556,DARK HOT COFFEE,474.5
25847,5984,COMBO130,40
7015,10163,REGULAR HOT COFFEE,367
24537,1955,FOOD5,438
34161,4208,FLAVOURED HTO COFFEE,160.5
5611,3973,LATTE HOT COFFEE,209
30927,7279,FRAPPE,0
6643,6335,AMERICAN HOT COFFEE,294
25613,9029,FLAVOURED TEA11,131.5
4567,7516,TOPPING SYRUPS,65.5
9327,9310,BIG HOT COFFEE,215.5
4619,667,AMERICAN HOT COFFEE,196
5149,2419,CHEESE SLICE,100
25075,7037,MILKSHAKE,292
18123,2099,FRAPPE,132
3271,4348,CHEESE SLICE,107.5
6543,2615,FOOD40,503.5
3553,9602,DARK COLD COFFEE,405.5
5299,8726,HOT CAPPUCCINO,150
26271,9893,LATTE HOT COFFEE,70.5
5397,7786,FRAPPE,86
913,6073,VANILLA ICE CREAMS,140
25789,540,FLAVOURED TEA9,344.5
4551,8469,COMBO1,99
2539,6264,DARK COLD COFFEE,279
27727,6309,AMERICAN HOT COFFEE,374.5
18573,10291,MISCELLANEOUS,318.5
22749,5438,DARK COLD COFFEE,434
3097,926,ESPRESSO HOT COFFEE,54.5
25371,5127,AMERICAN HOT COFFEE,138
19235,5861,SUPER COLD COFFEE,129.5
5057,8038,OTHER HOT DRINKS,73
30459,4817,FOOD36,316.5
25973,5498,MISCELLANEOUS,274
24205,1327,MISCELLANEOUS,92
27041,9957,FRAPPE,0
22361,8494,FOOD29,177
5199,6594,FOOD24,391
32035,8198,FOOD6,46.5
19889,4957,TOPPING SYRUPS,206.5
14397,520,MISCELLANEOUS,284.5
14711,8474,FLAVOURED TEA10,193.5
863,3275,NATURAL DRINK 1,285.5
5093,5960,FRAPPE,678.5
27289,1973,REGULAR HOT COFFEE,227
24769,10765,ARABIAN HOT COFFEE,53
3379,155,MISCELLANEOUS,272
23471,8414,FRAPPE,295
2449,7407,MISCELLANEOUS,90
18999,5727,HOT CAPPUCCINO,176
24909,2209,VANILLA ICE CREAMS,100
25769,1722,FOOD36,44
28987,514,ICE CREAM1,347.5
33915,6389,COOL BLUE,235
11313,4319,FOOD30,118.5
3825,2384,FLAVOURED TEA1,138.5
15833,10279,FRAPPE,151
19157,6404,REGULAR HOT COFFEE,150.5
11197,4878,AMERICAN HOT COFFEE,191
8309,8695,MILKSHAKE,479
21041,1107,FOOD65,560.5
22021,3707,AMERICAN HOT COFFEE,149.5
29765,4741,CRUNCHY FRAPPE,136
10149,4079,FLAVOURED TEA11,303
13445,9470,HOT CAPPUCCINO,133.5
22897,1493,FOOD133,246.5
8363,908,INDIAN COLD COFFEE,202.5
21195,7090,LATTE HOT COFFEE,123.5
5113,3095,COMBO1,166.5
14565,3000,CHOCOLATE ICE CREAMS,364.5
30571,5219,COMBO1,220.5
2953,5059,LATTE HOT COFFEE,130
5091,3649,DARK HOT COFFEE,206.5
30593,6897,COMBO24,104
23215,1253,VANILLA ICE CREAMS,598
20231,7083,AMERICAN HOT COFFEE,550
4019,8463,#N/A,112.5
19067,147,FLAVOURED TEA11,123
34553,1292,ADD ON ESPRESSO,197.5
8149,4153,MISCELLANEOUS,224.5
20601,3832,NEW CAPPUCINO,168
9783,3160,AMERICAN HOT COFFEE,379
2237,8025,NEW CAPPUCINO,75.5
18247,10561,FRAPPE,0
33453,1556,FLAVOURED HOT COFFEE,155.5
33227,10549,LATTE HOT COFFEE,268
32827,4048,MISCELLANEOUS,686.5
4279,3728,HOT CAPPUCCINO,70.5
22055,7461,MISCELLANEOUS,170.5
15757,936,MISCELLANEOUS,79
2721,3302,CHEESE SLICE,340
6203,10387,COOL BLUE,75
33725,4819,AMERICAN HOT COFFEE,255.5
13633,9104,MISCELLANEOUS,170.5
18129,9971,COMBO24,376.5
3741,2998,FOOD38,368
2105,7332,MISCELLANEOUS,141
10577,6649,MISCELLANEOUS,232.5
13741,3337,ARABIAN HOT COFFEE,868
21143,6727,TOPPING SYRUPS,380.5
32409,815,AMERICAN HOT COFFEE,380
24907,5461,TOPPING SYRUPS,65
28951,6752,MISCELLANEOUS,117.5
28025,3292,AMERICAN HOT COFFEE,83
16213,6291,MISCELLANEOUS,891.5
15327,9731,FOOD4,530.5
18717,4185,COOL BLUE,178.5
34319,7981,FOOD80,1315.5
17903,10419,AMERICAN HOT COFFEE,184.5
4925,3836,MISCELLANEOUS,65.5
3143,8335,VANILLA ICE CREAMS,239
15355,7326,HOT CAPPUCCINO,66.5
24005,6784,MISCELLANEOUS,85.5
29985,94,FRAPPE,408
28681,1119,FRAPPE,211
15107,6460,FOOD70,211.5
10191,4729,FOOD19,45.5
23087,4888,FRAPPE,324
29399,1538,#N/A,179.5
3199,7711,FRAPPE,721.5
8013,5267,DARK HOT COFFEE,537
23967,7970,MILKSHAKE,128
17811,4150,COFFEE POWDER TYPE4,170.5
21061,4525,MISCELLANEOUS,812
11863,4753,FLAVOURED LATTE,324
32543,1551,AMERICAN HOT COFFEE,223
31883,3685,SPARKLING COLD COFFEE,922.5
12095,540,FOOD135,490
20879,4671,CHEESE SLICE,257.5
15851,2638,FRAPPE,235
22111,1023,COMBO4,140
5499,8453,FOOD36,381
17411,2169,LEMONADE,66.5
4677,3810,FOOD83,142.5
7343,779,FRAPPE,100.5
8121,6910,DARK COLD COFFEE,137.5
34615,2111,AMERICAN HOT COFFEE,115.5
2591,9647,FRAPPE,219.5
26345,1379,FRAPPE,345.5
6061,5038,FLAVOURED TEA11,130.5
12173,8738,FRAPPE,158.5
15513,3385,FOOD7,230
23011,6435,TOPPING SYRUPS,301.5
20129,2706,HOT CHOCOLATE,21
24277,7292,FOOD92,360
15967,2673,MISCELLANEOUS,276
26987,1063,LATTE HOT COFFEE,125.5
24189,4799,FRAPPE,75.5
2141,2426,MISCELLANEOUS,308.5
34203,1257,DARK COLD COFFEE,290
29367,2066,AMERICAN HOT COFFEE,0
18937,5890,FLAVOURED HTO COFFEE,142.5
21845,8369,MISCELLANEOUS,492
24637,811,MISCELLANEOUS,46.5
31829,4322,FOOD52,174
27601,3138,HOT CHOCOLATE,245.5
25951,1772,FOOD92,191
25117,10299,COMBO46,277.5
32901,7851,LATTE HOT COFFEE,182
5003,2184,MISCELLANEOUS,138
999,5662,AMERICAN HOT COFFEE,61.5
22471,7237,TOPPING SYRUPS,531.5
20903,4568,MISCELLANEOUS,387.5
30001,9986,FOOD3,237.5
31719,4070,NATURAL DRINK 1,260.5
14251,4174,DARK COLD COFFEE,101
18799,6668,CHEESE SLICE,358
29647,3441,FOOD83,175.5
8851,3935,FLAVOURED TEA9,200.5
15035,9752,FRAPPE,231.5
7241,1418,FOOD139,3089
1115,2530,VANILLA ICE CREAMS,190.5
6571,7501,FRAPPE,84.5
28971,1614,DARK HOT COFFEE,389.5
9247,3998,FOOD6,723.5
4837,6756,MISCELLANEOUS,295
27109,7077,FLAVOURED HTO COFFEE,151
1961,10063,TOPPING SYRUPS,611.5
30089,638,FOOD37,269.5
32509,10583,TOPPING SYRUPS,135
7983,3057,MISCELLANEOUS,249
9267,3776,FOOD132,50.5
33151,4361,MISCELLANEOUS,344
4183,2844,AMERICAN HOT COFFEE,144.5
22113,3766,FLAVOURED TEA6,75.5
22507,5989,VANILLA ICE CREAMS,493.5
13697,3611,FOOD133,425.5
15529,3858,FOOD83,260.5
5661,3881,FRAPPE,180.5
2255,8695,CHOCOLATE ICE CREAMS,227.5
28089,8292,FLAVOURED HTO COFFEE,151
4809,10606,TOPPING SYRUPS,86.5
30509,4019,FRAPPE,206.5
19555,7520,REGULAR HOT COFFEE,159.5
20057,7502,FLAVOURED HOT COFFEE,156.5
33359,8760,MISCELLANEOUS,185.5
16809,7580,AMERICAN HOT COFFEE,540.5
11723,1579,MISCELLANEOUS,153.5
13141,7800,FRAPPE,458.5
4725,7794,FRAPPE,342.5
7909,6178,CRUNCHY FRAPPE,60.5
20791,4599,FRAPPE,0
20679,1927,AMERICAN HOT COFFEE,374.5
15627,2704,COMBO104,577
21773,5144,FLAVOURED LATTE,78
7867,8595,MISCELLANEOUS,84.5
22837,3165,FOOD7,135
17919,9834,HOT CHOCOLATE,302.5
27079,7037,AMERICAN HOT COFFEE,125.5
9357,10122,FLAVOURED FRAPPE,84.5
3341,4666,COMBO4,775
4975,9373,CHEESE SLICE,387.5
28463,10538,ETHIOPIAN HOT COFFEE,359.5
34729,10087,COMBO24,229.5
10723,8691,REGULAR HOT COFFEE,224
16553,5144,FLAVOURED LATTE,73
12981,6303,CHEESE SLICE,116
17863,4375,AMERICAN HOT COFFEE,61.5
33489,4846,COMBO123,120
4385,6273,MISCELLANEOUS,140.5
27963,6278,WHIPPED CREAM,71
31527,7245,AMERICAN HOT COFFEE,207.5
3823,4182,TOPPING SYRUPS,51.5
2847,5812,FOOD36,174.5
21183,4967,FRAPPE,530.5
16147,10181,FLAVOURED HTO COFFEE,253.5
3415,6573,FOOD6,1094
7599,3451,AMERICAN HOT COFFEE,167
13607,223,FRAPPE,223.5
8195,8439,REGULAR HOT COFFEE,66
15421,7136,AMERICAN HOT COFFEE,69
10585,2677,TOPPING SYRUPS,150
26755,9606,HOT CHOCOLATE,103.5
30987,9047,MISCELLANEOUS,124.5
9107,3064,FRAPPE,83
4195,1169,MILKSHAKE,55
16203,3403,VANILLA ICE CREAMS,16.5
14515,1358,FRAPPE,312
9359,5239,TOPPING SYRUPS,217
30477,10429,TOPPING SYRUPS,570
8147,3521,MISCELLANEOUS,496
9035,8054,MISCELLANEOUS,233
981,2016,CHEESE SLICE,435
29051,1882,AMERICAN HOT COFFEE,222
7077,5599,FLAVOURED TEA20,297.5
25083,7941,MISCELLANEOUS,127.5
23193,821,AMERICAN HOT COFFEE,165
17175,1645,LEMONADE,66.5
27181,569,FOOD133,268
6581,1840,AMERICAN HOT COFFEE,226
5689,9834,MISCELLANEOUS,396.5
18613,5090,COMBO1,159.5
30197,1427,FRAPPE,184.5
34405,8927,FRAPPE,107
10055,4594,COMBO102,224.5
11147,7539,FOOD4,202.5
21567,1921,COMBO6,73.5
29459,6213,AMERICAN HOT COFFEE,133.5
26557,7567,FOOD132,2069
18839,4705,FRAPPE,402.5
8165,4501,FLAVOURED TEA12,60
25131,178,FOOD36,544.5
1053,7321,HOT CAPPUCCINO,154.5
11641,9444,MISCELLANEOUS,175
18447,2752,FRAPPE,287
1769,5957,VANILLA ICE CREAMS,524
14469,5606,FLAVOURED HTO COFFEE,245.5
14735,2758,MISCELLANEOUS,147
20773,102,MISCELLANEOUS,275
8503,2967,TOPPING SYRUPS,403
19713,9785,MISCELLANEOUS,511.5
20621,7844,FILTER COFFEE,341.5
2109,5510,FLAVOURED COFFEE,236.5
18501,5725,FOOD143,1648.5
9695,2267,FRAPPE,161.5
27043,9657,FOOD104,470.5
34507,4623,COMBO6,73.5
31813,6844,MILKSHAKE,330
4915,6767,MISCELLANEOUS,73
13483,6711,AMERICAN HOT COFFEE,158
17485,4929,FOOD119,167
6775,9934,MISCELLANEOUS,15
7105,9158,HOT CAPPUCCINO,306.5
28635,10639,MILKSHAKE,243.5
13371,7540,FOOD9,456.5
6015,6171,MISCELLANEOUS,282.5
29791,7401,MISCELLANEOUS,166
19731,8942,COMBO11,104
24959,8201,AMERICAN HOT COFFEE,92
20199,3349,FRAPPE,0
29041,5994,VANILLA ICE CREAMS,181.5
20967,7203,ICE CREAM9,190
24339,5133,SUPER COLD COFFEE,203
31127,7902,FOOD118,141
15533,414,HOT CAPPUCCINO,166.5
21555,3407,AMERICAN HOT COFFEE,221.5
9379,4987,FOOD67,426.5
17543,6491,COFFEE POWDER TYPE4,410.5
19893,399,WHIPPED CREAM,244
11811,136,AMERICAN HOT COFFEE,332
4521,9150,MISCELLANEOUS,250
18237,6667,FOOD2,50.5
6797,8434,MISCELLANEOUS,172.5
3491,5385,CHEESE SLICE,364.5
4393,5188,FLAVOURED HTO COFFEE,70
6171,1974,AMERICAN HOT COFFEE,240.5
15631,7489,FOOD100,148.5
11575,2199,FRAPPE,197
26899,7791,FLAVOURED FRAPPE,181.5
17573,2076,CRUNCHY FRAPPE,145.5
15667,5172,LATTE HOT COFFEE,466
8271,21,CHEESE SLICE,196
7259,9651,VANILLA ICE CREAMS,387
17185,10096,HOT CAPPUCCINO,211.5
23581,2320,AMERICAN HOT COFFEE,149.5
31291,5001,COMBO1,342
28711,7499,FLAVOURED LATTE,84.5
11401,2857,MISCELLANEOUS,229
15539,6683,FOOD26,294.5
12865,1521,FRAPPE,196.5
27283,3616,MISCELLANEOUS,276.5
21771,7870,AMERICAN HOT COFFEE,112.5
13169,1609,FLAVOURED TEA3,213
19925,5930,FOOD31,69
33115,5521,AMERICAN HOT COFFEE,153
19295,4751,HOT CAPPUCCINO,249
15921,7289,AMERICAN HOT COFFEE,16.5
4035,157,VANILLA ICE CREAMS,325.5
9453,6620,FLAVOURED TEA1,224
11531,9258,FLAVOURED HTO COFFEE,162
4913,9364,FOOD33,194.5
28507,8297,FRAPPE,83
4973,10163,AMERICAN HOT COFFEE,227.5
28195,10541,ICE CREAM8,1251.5
34105,9374,FRAPPE,291.5
26725,9788,AMERICAN HOT COFFEE,124.5
1075,10664,FLAVOURED LATTE,306
14805,6043,AMERICAN HOT COFFEE,83
3387,3075,CHEESE SLICE,474.5
34277,7731,AMERICAN HOT COFFEE,390.5
12029,8712,FOOD9,161.5
27743,1015,CRUNCHY FRAPPE,40
28765,7234,AMERICAN HOT COFFEE,295.5
17133,8168,MISCELLANEOUS,111
16109,3734,HOT CAPPUCCINO,270
25985,2033,CRUNCHY FRAPPE,82
14289,10585,ADD ON TEA,29
1943,4057,MILKSHAKE,301
33661,7508,HOT CAPPUCCINO,218.5
20989,6713,FRAPPE,135.5
13231,10590,FRAPPE,220.5
5543,7838,FLAVOURED HTO COFFEE,251.5
5751,6443,FRAPPE,285.5
13761,5411,AMERICAN HOT COFFEE,58
17319,1840,VANILLA ICE CREAMS,825.5
30919,8845,COMBO45,460.5
14251,4174,FRAPPE,72
8597,981,COMBO125,869
28603,5218,FOOD4,172.5
25399,7944,FOOD88,356
29555,8062,MISCELLANEOUS,667
24211,7093,FOOD92,244
22737,7443,LATTE SHOT,75.5
31893,2585,MISCELLANEOUS,491
18551,473,FOOD134,433
9967,2852,#N/A,1182
4013,6793,FRAPPE,32.5
4335,1624,MILKSHAKE,73
6769,6406,CHEESE SLICE,240
1297,10496,COMBO4,118
27001,8969,HOT CHOCOLATE,306.5
8599,1739,TOPPING SYRUPS,289
29639,10719,COMBO126,280
18007,4659,FRAPPE,33.5
33849,1503,MISCELLANEOUS,1157.5
23073,9023,COMBO11,230
21055,7102,COMBO122,180.5
22677,5101,REGULAR HOT COFFEE,182.5
27763,821,MILKSHAKE,214.5
15469,10725,AMERICAN HOT COFFEE,72
21981,9699,AMERICAN HOT COFFEE,65
20259,4488,LATTE HOT COFFEE,104.5
5061,704,MISCELLANEOUS,192
2503,7492,AMERICAN HOT COFFEE,115.5
15739,4516,OTHER DRINKS,109.5
4811,908,MISCELLANEOUS,155
30671,909,FOOD102,723
25427,3734,FOOD92,490.5
21625,8859,FOOD83,108.5
18253,6352,TOPPING SYRUPS,194.5
25199,3564,FOOD7,218.5
28221,9809,FRAPPE,245.5
7839,6654,AMERICAN HOT COFFEE,115.5
9289,3820,COMBO36,272
16555,9136,VANILLA ICE CREAMS,136.5
6557,7332,FOOD122,145
2505,1824,MISCELLANEOUS,169
33769,9511,AMERICAN HOT COFFEE,65
15687,1598,COMBO6,256.5
3349,4188,COMBO4,172.5
28495,8970,FRAPPE,358
10781,2456,TOPPING SYRUPS,532
28983,4504,FOOD132,275
12187,10184,HOT CAPPUCCINO,66.5
6715,10405,MISCELLANEOUS,165.5
17433,6211,CRUNCHY FRAPPE,358
6273,5093,AMERICAN HOT COFFEE,61.5
26141,10415,MISCELLANEOUS,221.5
27205,4810,MISCELLANEOUS,98
5677,1733,MISCELLANEOUS,384
25641,2572,AMERICAN HOT COFFEE,250
33799,4382,FOOD6,150
1169,8672,LATTE SHOT,151
25165,1033,FOOD22,493
23377,10226,FOOD70,1000
28881,4390,ETHIOPIAN HOT COFFEE,212.5
2793,6187,NATURAL DRINK 1,277.5
24649,4875,FOOD133,553
2709,3427,FRAPPE,271
2677,7324,FRAPPE,213
1153,1408,AMERICAN HOT COFFEE,58
14859,1195,TOPPING SYRUPS,296.5
10043,10167,FOOD56,306.5
2889,8581,FOOD4,161.5
22081,9439,MISCELLANEOUS,532
19985,2864,NATURAL DRINK 5,163
33131,2593,FOOD118,460.5
17637,6471,MISCELLANEOUS,424
31887,296,LATTE HOT COFFEE,279
21071,8532,FOOD5,298
10477,1349,CRUNCHY FRAPPE,75.5
32545,313,ESPRESSO HOT COFFEE,161.5
7833,448,MISCELLANEOUS,153
33593,7241,MISCELLANEOUS,341.5
25815,7292,CHEESE SLICE,270.5
16535,7182,TOPPING SYRUPS,130
34665,232,FOOD133,580
4415,1518,CRUNCHY FRAPPE,75.5
13523,10504,DARK COLD COFFEE,237.5
22189,3841,COMBO3,513
11937,7733,MISCELLANEOUS,486.5
32113,8528,FOOD78,643.5
3427,5373,WHIPPED CREAM,525
23811,6410,FLAVOURED TEA11,88.5
26791,1535,#N/A,337
2035,9922,ESPRESSO HOT COFFEE,51.5
15101,7292,MISCELLANEOUS,227
34211,6245,AMERICAN HOT COFFEE,70
15423,9663,FOOD18,1521.5
31773,8427,FRAPPE,218.5
26197,3679,MISCELLANEOUS,837.5
24001,94,LATTE HOT COFFEE,1447.5
26509,2207,AMERICAN HOT COFFEE,58
11399,5270,MISCELLANEOUS,234
21193,7137,INDIAN COLD COFFEE,386
6689,7610,FOOD92,494.5
3625,10077,FLAVOURED HTO COFFEE,237.5
14893,10720,FOOD143,178.5
26343,1445,MISCELLANEOUS,512
21223,4535,CHEESE SLICE,169
30139,8619,ADD ON ESPRESSO,557
1951,5623,FOOD88,199
6881,3091,CRUNCHY FRAPPE,230
21639,7612,FOOD133,403
23065,1330,FRAPPE,0
17571,3200,FOOD26,276.5
23773,7076,COMBO9,230
6761,4266,DARK COLD COFFEE,640.5
18255,3752,SUPER COLD COFFEE,76
25465,9763,FRAPPE,247.5
15949,4628,COMBO11,104
17109,8584,AMERICAN HOT COFFEE,267
30403,8011,AMERICAN HOT COFFEE,286
27439,5865,AMERICAN HOT COFFEE,238.5
6023,6900,FRAPPE,166
26545,2923,VANILLA ICE CREAMS,134
24075,6675,CHEESE SLICE,340
10073,7276,MISCELLANEOUS,166
33469,9716,ADD ON ESPRESSO,870
6789,5193,MILKSHAKE,55
20919,3257,MISCELLANEOUS,948
7937,4392,MISCELLANEOUS,213
16655,14,HOT CAPPUCCINO,204
29141,10411,FRAPPE,317.5
2861,6913,FOOD30,55.5
27429,2771,CRUNCHY FRAPPE,334
24763,4006,FOOD4,194.5
7049,10254,AMERICAN HOT COFFEE,258.5
15033,6032,AMERICAN HOT COFFEE,203
31541,7121,WHIPPED CREAM,134.5
13029,10040,DARK COLD COFFEE,106
8167,10715,CRUNCHY FRAPPE,33.5
16311,8905,COOL BLUE,260
14849,3507,FOOD133,384
30579,10326,COMBO1,311
2681,8665,CHEESE SLICE,54
6279,1610,FOOD133,427
25639,6412,TOPPING SYRUPS,319.5
23657,1247,WHIPPED CREAM,805.5
7829,8113,FOOD132,499.5
14615,8947,FOOD5,237
7367,3548,COMBO1,83
19799,684,MISCELLANEOUS,182.5
10277,1418,FOOD127,3446
3273,4586,VANILLA ICE CREAMS,323.5
17229,3507,BIG HOT COFFEE,276
845,8045,REGULAR HOT COFFEE,259
19091,1612,FLAVOURED TEA11,179.5
33879,9450,MISCELLANEOUS,394.5
801,9234,FLAVOURED FRAPPE,259.5
23775,2520,COMBO45,109
15767,10091,MISCELLANEOUS,67.5
29143,4959,ARABIAN HOT COFFEE,471
24551,609,AMERICAN HOT COFFEE,66.5
19941,7448,BLUEBERRY SHOT,108.5
10823,8724,TOPPING SYRUPS,142.5
12285,3057,AMERICAN HOT COFFEE,1229
675,9169,AMERICAN HOT COFFEE,61.5
8461,5526,MISCELLANEOUS,32
9631,9836,FLAVOURED HTO COFFEE,29
25693,2112,AMERICAN HOT COFFEE,486
8273,4751,FOOD93,326
32249,9420,MISCELLANEOUS,426
11933,1178,AMERICAN HOT COFFEE,253
5715,5058,CHEESE SLICE,691
30651,4468,LEMONADE,175.5
20663,7608,VANILLA ICE CREAMS,335.5
8535,6768,FRAPPE,318.5
31393,10297,WHIPPED CREAM,128.5
28863,7784,MISCELLANEOUS,265.5
32675,6749,MISCELLANEOUS,1090
21395,8294,ARABIAN HOT COFFEE,62
9939,2432,VANILLA ICE CREAMS,443.5
3239,6120,LATTE HOT COFFEE,130
25553,8413,CHEESE SLICE,766
20255,1610,TOPPING SYRUPS,382
27857,9525,AMERICAN HOT COFFEE,13
18789,5398,FRAPPE,191
27365,3400,CHEESE SLICE,608.5
14703,1840,MISCELLANEOUS,281.5
32267,6844,COMBO125,472
22381,5430,FRAPPE,125.5
4929,6650,ESPRESSO HOT COFFEE,152.5
25035,1171,TOPPING SYRUPS,166
15271,1839,AMERICAN HOT COFFEE,58
31379,9845,INDIAN COLD COFFEE,372.5
8275,10602,MISCELLANEOUS,276.5
17931,6623,MISCELLANEOUS,109
30941,10385,MISCELLANEOUS,141.5
32421,8255,CHEESE SLICE,187
4673,6192,MILKSHAKE,216
6803,2561,LATTE SHOT,81.5
1469,8250,MISCELLANEOUS,177
24667,3324,#N/A,262
7037,10254,FRAPPE,263.5
29937,54,#N/A,89.5
30873,1777,FRAPPE,129
7903,6587,FOOD64,255.5
23157,1928,MISCELLANEOUS,385.5
16773,4855,FLAVOURED LATTE,79
14251,4174,CHEESE SLICE,20.5
15373,482,FLAVOURED TEA6,599
23015,9990,FOOD75,300
11527,5908,FOOD1,404.5
14753,1672,WHIPPED CREAM,201
17095,711,VANILLA ICE CREAMS,495
8073,3254,DARK COLD COFFEE,106
21703,7624,TOPPING SYRUPS,316.5
11523,793,AMERICAN HOT COFFEE,115.5
14559,7401,TOPPING SYRUPS,447.5
27137,4383,MISCELLANEOUS,443.5
14809,6035,FLAVOURED HOT COFFEE,563
26829,2897,FRAPPE,111.5
25687,2618,FOOD107,285
28659,10035,LATTE HOT COFFEE,130
32217,2679,FLAVOURED HTO COFFEE,336
27213,9614,FOOD90,54.5
30379,4689,AMERICAN HOT COFFEE,60
14479,5588,HOT CAPPUCCINO,271
14145,8580,REGULAR HOT COFFEE,66
33945,2212,FOOD67,331
21263,6500,COMBO104,481
