transaction_number,customer_number,transaction_time,store_name,sale_amount_including_loyalty_points_used,loyalty_points_used_by_customer,offer_used_by_customer_to_earn_loyalty_points
809,3772,2018-06-06 12:55:55,MANGALORE STORE 230,215,9.5,NA
811,334,2018-06-06 13:11:36,SHIVAMOGGA STORE 1143,139,0,NA
813,10121,2018-06-06 14:07:46,LUDHIANA STORE 672,190.5,27.5,NA
815,3060,2018-06-06 14:56:23,NOIDA STORE 1079,663.5,0,NA
817,2268,2018-06-06 15:25:43,GURGAON STORE 635,142.5,0,NA
819,4282,2018-06-06 15:42:09,MUMBAI STORE 269,525,0,NA
821,8991,2018-06-06 15:48:51,CHENNAI STORE 1061,124,25,NA
823,4949,2018-06-06 16:20:31,GURGAON STORE 635,51.5,0,NA
825,5184,2018-06-06 17:02:30,PUNE STORE 385,414,0,NA
827,1818,2018-06-06 17:19:23,GURGAON STORE 633,331.5,0,NA
829,9110,2018-06-06 17:34:41,DELHI STORE 500,187,0,NA
831,8654,2018-06-06 17:56:20,NAPUR STORE 967,154,0,NA
833,3870,2018-06-06 17:56:37,HYDERABAD STORE 464,773.5,25,NA
835,8570,2018-06-06 18:17:06,CHENNAI STORE 10,417.5,0,NA
837,7314,2018-06-06 18:48:58,GURGAON STORE 636,61.5,25,NA
839,6664,2018-06-06 19:12:04,DELHI STORE 1156,315,0,Get 50% CASHBACK on your purchase
841,2035,2018-06-06 19:25:48,BELGAUM STORE 239,120,25,NA
843,6074,2018-06-06 19:39:44,DELHI STORE 515,83,0,NA
845,8045,2018-06-06 19:45:25,NOIDA STORE 599,259,0,NA
847,8544,2018-06-06 19:49:44,MEERUT STORE 606,170.5,0,NA
849,10273,2018-06-06 20:00:41,DELHI STORE 527,659,0,NA
851,1331,2018-06-06 20:15:40,BANGALORE STORE 103,221,0,NA
853,1533,2018-06-06 20:42:52,DHARMAPURI STORE 921,401.5,0,NA
855,5089,2018-06-06 20:53:37,PUNE STORE 400,185.5,0,NA
857,8779,2018-06-06 21:32:42,DELHI STORE 500,224.5,0,NA
859,4489,2018-06-06 21:38:07,VIJAYAWADA. STORE 1199,75.5,0,NA
861,3676,2018-06-06 21:52:39,BHARUCH STORE 944,75.5,0,NA
863,3275,2018-06-06 21:56:11,PUNE STORE 932,285.5,0,NA
865,8275,2018-06-06 23:12:06,DAVANGERE STORE 1096,104,0,NA
867,3606,2018-06-07 11:30:34,LUDHIANA STORE 672,100,0,NA
869,2849,2018-06-07 11:46:02,MUMBAI STORE 1127,106,0,NA
871,2269,2018-06-07 12:12:18,DELHI STORE 574,45,0,NA
873,4391,2018-06-07 12:16:47,GURGAON STORE 954,257.5,0,NA
875,9448,2018-06-07 12:25:33,BANGALORE STORE 1302,293,0,NA
877,4296,2018-06-07 12:27:52,DELHI STORE 499,589,0,NA
879,1547,2018-06-07 12:57:35,DELHI STORE 574,136.5,25,NA
881,530,2018-06-07 13:28:10,BANGALORE STORE 100,146,0,NA
883,5392,2018-06-07 13:42:51,COCHIN STORE 487,329.5,25,NA
885,530,2018-06-07 13:47:32,BANGALORE STORE 100,100.5,0,NA
887,2937,2018-06-07 13:59:45,BANGALORE STORE 100,164,0,NA
889,5510,2018-06-07 14:07:47,MUMBAI STORE 290,109.5,25,NA
891,4282,2018-06-07 14:14:35,MUMBAI STORE 269,147.5,0,NA
893,9476,2018-06-07 14:18:40,BARODA STORE 834,75.5,0,NA
895,1835,2018-06-07 14:37:47,ZIRAKPUR STORE 1299,208,0,NA
897,3772,2018-06-07 14:43:07,MANGALORE STORE 230,261.5,0,NA
899,3317,2018-06-07 15:05:02,DELHI STORE 574,85,25,NA
901,1664,2018-06-07 15:37:49,MANGALORE STORE 231,109,0,NA
903,6011,2018-06-07 15:38:47,DELHI STORE 574,124,25,NA
905,730,2018-06-07 16:05:55,BANGALORE STORE 88,75.5,0,NA
907,10143,2018-06-07 16:21:25,GUWAHATI STORE 1084,24.5,0,NA
909,3167,2018-06-07 16:58:09,BANGALORE STORE 103,223.5,25,NA
911,9640,2018-06-07 17:09:18,LONI STORE 431,321.5,0,NA
913,6073,2018-06-07 17:27:03,CHENNAI STORE 13,140,0,NA
915,111,2018-06-07 17:30:23,PUNE STORE 404,137,0,NA
917,5456,2018-06-07 18:20:23,MADURAI STORE 52,142,0,NA
919,6053,2018-06-07 18:36:39,BARODA STORE 831,190,0,NA
921,5836,2018-06-07 18:58:09,PUNE STORE 367,195,0,NA
923,10273,2018-06-07 18:59:48,DELHI STORE 527,184,25,NA
925,3149,2018-06-07 19:10:58,CHENNAI STORE 38,463,0,NA
927,6958,2018-06-07 19:16:49,PONDICHERRY STORE 916,235.5,0,NA
929,1859,2018-06-07 19:31:58,KOLKATA STORE 761,1507.5,0,NA
931,5561,2018-06-07 19:58:32,AHMEDABAD STORE 853,218.5,29.5,Get 50% CASHBACK on your purchase
933,8481,2018-06-07 20:32:58,NAGPUR STORE 1008,149,0,NA
935,2069,2018-06-07 21:10:42,AMRITSAR STORE 659,66.5,0,NA
937,1534,2018-06-07 22:08:00,LUCKNOW STORE 608,150.5,25,NA
939,5013,2018-06-08 11:26:49,PUNE STORE 384,42,0,NA
941,533,2018-06-08 12:06:58,DURGAPUR STORE 773,122,0,NA
943,4651,2018-06-08 12:24:38,CHENNAI STORE 1165,196,0,NA
945,9495,2018-06-08 12:51:36,CHENNAI STORE 14,328.5,0,NA
947,150,2018-06-08 13:11:08,CHICKMAGALUR STORE 228,187.5,0,NA
949,5134,2018-06-08 13:30:21,MUMBAI STORE 1266,78,0,NA
951,1771,2018-06-08 13:37:50,MUMBAI STORE 290,452.5,0,NA
953,1771,2018-06-08 14:05:31,MUMBAI STORE 290,641.5,109,NA
955,5493,2018-06-08 14:36:06,PUNE STORE 404,424.5,0,NA
957,3380,2018-06-08 14:37:16,GWALIOR STORE 881,51.5,25,NA
959,6378,2018-06-08 14:40:28,GWALIOR STORE 881,7.5,0,NA
961,6009,2018-06-08 14:46:41,PUNE STORE 372,136.5,136.5,NA
963,4665,2018-06-08 15:05:13,GWALIOR STORE 881,51.5,25,NA
965,5393,2018-06-08 15:12:48,DELHI STORE 585,394,0,NA
967,2961,2018-06-08 15:19:20,CHENNAI STORE 49,75.5,0,NA
969,9006,2018-06-08 15:36:07,MUMBAI STORE 290,116,25,NA
971,4726,2018-06-08 15:56:58,AMARAVATI STORE 1309,154,0,NA
973,5350,2018-06-08 15:59:10,HYDERABAD STORE 479,214,0,NA
975,4869,2018-06-08 16:16:57,KOLKATA STORE 1100,221,25,NA
977,9363,2018-06-08 16:35:08,CHANDIGAR STORE 1208,83,25,NA
979,2460,2018-06-08 16:38:24,CHENNAI STORE 25,223,0,NA
981,2016,2018-06-08 16:40:53,KOLKATA STORE 725,435,0,NA
983,6867,2018-06-08 16:52:15,NAGPUR STORE 413,167.5,0,NA
985,4612,2018-06-08 16:55:33,SHIRDI STORE 1023,106,25,NA
987,4537,2018-06-08 16:56:32,MADURAI STORE 54,119.5,0,NA
989,4537,2018-06-08 16:58:45,MADURAI STORE 54,282.5,25,NA
991,9566,2018-06-08 17:15:16,VIJAYAWADA. STORE 1197,252.5,0,NA
993,1510,2018-06-08 17:32:33,PATNA STORE 920,136.5,0,30% CASHBACK on Food & Beverage purchase
995,6550,2018-06-08 17:37:48,PUNE STORE 932,183,0,NA
997,9854,2018-06-08 17:39:56,MYSORE STORE 225,37.5,0,NA
999,5662,2018-06-08 17:45:54,GURGAON STORE 636,61.5,25,NA
1001,9764,2018-06-08 18:07:55,GAYA STORE 1122,283,0,NA
1003,6478,2018-06-08 18:16:58,DELHI STORE 574,25,25,NA
1005,665,2018-06-08 18:20:13,PALAMPUR STORE 1171,473.5,0,NA
1007,747,2018-06-08 18:47:15,DEHRADUN STORE 891,142,28,NA
1009,5184,2018-06-08 19:29:45,PUNE STORE 385,841.5,0,NA
1011,10485,2018-06-08 19:44:47,DELHI STORE 574,42.5,35,NA
1013,6284,2018-06-08 19:48:00,CHENNAI STORE 17,582,0,NA
1015,6717,2018-06-08 19:49:02,LUDHIANA STORE 1081,75.5,0,NA
1017,4842,2018-06-08 19:51:56,RAIPUR STORE 951,375.5,0,NA
1019,706,2018-06-08 19:54:42,CHENNAI STORE 1093,333.5,0,NA
1021,8257,2018-06-08 20:02:01,GURGAON STORE 635,44,0,NA
1023,152,2018-06-08 20:22:27,DELHI STORE 574,25,25,NA
1025,7263,2018-06-08 20:23:33,AURANGABAD STORE 1041,202,0,NA
1027,9592,2018-06-08 20:25:06,CHANDIGAR STORE 1221,551.5,0,NA
1029,4651,2018-06-08 20:49:07,CHENNAI STORE 1165,197.5,0,NA
1031,2505,2018-06-08 20:52:10,AHMEDABAD STORE 845,123,0,NA
1033,911,2018-06-08 20:53:28,TUMKUR STORE 246,97,0,NA
1035,6777,2018-06-08 21:12:51,JALANDHAR STORE 936,1250.5,0,NA
1037,10569,2018-06-08 21:48:12,HYDERABAD STORE 480,307,0,30% CASHBACK on Food & Beverage purchase
1039,7664,2018-06-08 21:57:36,GURGAON STORE 635,61.5,25,NA
1041,6617,2018-06-08 22:32:56,GUWAHATI STORE 1084,139,0,NA
1043,2306,2018-06-09 00:17:28,CHENNAI STORE 14,496.5,0,NA
1045,10069,2018-06-09 00:18:51,PUNE STORE 400,368,0,NA
1047,5178,2018-06-09 00:21:58,BARDHAMAN STORE 1087,1486,25,NA
1049,3035,2018-06-09 02:28:22,KOLAR STORE 249,882,0,NA
1051,8680,2018-06-09 09:36:48,SIRA STORE 1038,391.5,0,NA
1053,7321,2018-06-09 10:30:52,PUNE STORE 364,154.5,0,NA
1055,746,2018-06-09 11:15:56,GUWAHATI STORE 903,179,25,NA
1057,1935,2018-06-09 11:25:49,MUMBAI STORE 264,104,0,30% CASHBACK on Food & Beverage purchase
1059,4806,2018-06-09 11:31:45,MUMBAI STORE 290,201.5,25,NA
1061,8555,2018-06-09 11:39:47,NASHIK STORE 412,154,0,NA
1063,8339,2018-06-09 11:49:09,PUNE STORE 400,286.5,0,30% CASHBACK on Food & Beverage purchase
1065,9460,2018-06-09 11:56:54,DELHI STORE 499,184,0,NA
1067,5803,2018-06-09 12:14:50,BANGALORE STORE 152,211.5,0,NA
1069,2772,2018-06-09 12:16:50,NALGONDA STORE 483,193,0,NA
1071,5673,2018-06-09 12:48:34,HYDERABAD STORE 445,58,0,NA
1073,7491,2018-06-09 13:11:03,DELHI STORE 524,58,25,NA
1075,10664,2018-06-09 13:11:56,MUMBAI STORE 309,306,0,30% CASHBACK on Food & Beverage purchase
1077,4757,2018-06-09 13:16:54,CHENNAI STORE 14,146.5,25,NA
1079,2160,2018-06-09 13:20:28,SANGLI STORE 429,85.5,0,NA
1081,10602,2018-06-09 13:22:17,HYDERABAD STORE 450,549,25,NA
1083,908,2018-06-09 13:24:03,GUWAHATI STORE 1084,87.5,0,NA
1085,7795,2018-06-09 13:33:15,DELHI STORE 584,51.5,25,NA
1087,2979,2018-06-09 13:33:47,DAVANGERE STORE 1096,250.5,0,30% CASHBACK on Food & Beverage purchase
1089,4652,2018-06-09 13:39:18,AMRITSAR STORE 1183,173.5,0,30% CASHBACK on Food & Beverage purchase
1091,8780,2018-06-09 13:55:38,DELHI STORE 524,15,0,NA
1093,5180,2018-06-09 14:11:39,ALIGARH STORE 956,50,0,NA
1095,2529,2018-06-09 14:22:21,DELHI STORE 584,15,0,NA
1097,1347,2018-06-09 14:27:23,CHENNAI STORE 1061,23,23,NA
1099,2931,2018-06-09 14:28:25,GWALIOR STORE 881,51.5,25,NA
1101,9281,2018-06-09 14:36:32,HYDERABAD STORE 475,79,0,NA
1103,352,2018-06-09 14:40:55,NASHIK STORE 959,61.5,41,NA
1105,5276,2018-06-09 14:59:45,CHANDIGAR STORE 1208,138.5,0,NA
1107,7629,2018-06-09 15:02:12,CHANDIGAR STORE 1219,95,0,NA
1109,4131,2018-06-09 15:15:21,DELHI STORE 584,51.5,25,NA
1111,7219,2018-06-09 15:19:40,NOIDA STORE 590,66,25,NA
1113,5088,2018-06-09 15:23:31,NOIDA STORE 590,66,25,NA
1115,2530,2018-06-09 15:26:51,NASHIK STORE 411,190.5,0,NA
1117,4027,2018-06-09 15:41:09,GOA STORE 1129,190.5,0,NA
1119,2053,2018-06-09 16:06:26,NOIDA STORE 590,113.5,25,NA
1121,6155,2018-06-09 16:06:54,PUNE STORE 1293,139.5,0,NA
1123,3772,2018-06-09 16:13:34,MANGALORE STORE 234,567,31.5,NA
1125,4281,2018-06-09 16:25:08,DELHI STORE 579,205,0,NA
1127,1097,2018-06-09 16:25:13,SHIRDI STORE 1023,163.5,0,NA
1129,3260,2018-06-09 16:32:29,NOIDA STORE 1040,83,25,NA
1131,648,2018-06-09 16:42:13,DELHI STORE 540,282.5,0,NA
1133,668,2018-06-09 16:42:25,PUNE STORE 968,93,25,NA
1135,9834,2018-06-09 16:53:55,SATARA STORE 433,845,0,NA
1137,7100,2018-06-09 16:55:04,HALDWANI STORE 897,292.5,25,NA
1139,8023,2018-06-09 17:14:29,DELHI STORE 566,205.5,25,NA
1141,8147,2018-06-09 17:18:18,BANGALORE STORE 1302,96.5,25,NA
1143,4297,2018-06-09 17:18:18,PUNE STORE 388,158.5,0,NA
1145,7730,2018-06-09 17:19:49,PUNE STORE 400,251,25,NA
1147,4736,2018-06-09 17:35:58,PUNE STORE 404,184,0,NA
1149,4841,2018-06-09 17:46:12,DELHI STORE 524,37.5,0,NA
1151,3872,2018-06-09 17:51:53,TRICHY STORE 1168,241.5,0,NA
1153,1408,2018-06-09 17:53:42,TRICHY STORE 1003,58,0,NA
1155,6188,2018-06-09 17:58:24,CHENNAI STORE 1165,150.5,0,NA
1157,9795,2018-06-09 18:04:17,HYDERABAD STORE 462,212,0,NA
1159,4226,2018-06-09 18:07:08,DELHI STORE 524,51.5,25,NA
1161,9211,2018-06-09 18:09:45,BANGALORE STORE 159,19.5,0,NA
1163,8835,2018-06-09 18:25:03,PUNE STORE 968,266.5,0,NA
1165,43,2018-06-09 18:25:57,CHITTOR. STORE 1187,140,0,NA
1167,1821,2018-06-09 18:27:40,JALANDHAR STORE 669,75.5,25,NA
1169,8672,2018-06-09 18:28:54,CHENNAI STORE 3,151,0,NA
1171,3890,2018-06-09 18:34:16,CHITTOR. STORE 1187,75,25,NA
1173,4653,2018-06-09 18:58:04,PUNE STORE 932,179,25,NA
1175,2841,2018-06-09 19:08:31,MANGALORE STORE 1037,959.5,25,NA
1177,3507,2018-06-09 19:14:02,BANGALORE STORE 160,252.5,0,30% CASHBACK on Food & Beverage purchase
1179,854,2018-06-09 19:14:49,BANGALORE STORE 88,122,25,NA
