customer_number,app_install_time,gender,marital_status,date_of_birth,referral_as_source_of_app_install
63,2018-06-18 22:59:49,MALE,NA,1991-02-28,Not_through_referral
64,2018-06-29 16:49:35,MALE,NA,1992-02-27,Not_through_referral
65,2018-07-14 23:14:51,FEMALE,NA,2001-08-30,Installed_through_referral
66,2018-07-23 13:59:30,MALE,NA,1991-10-01,Installed_through_referral
67,2018-06-01 15:41:45,MALE,NA,1999-09-24,Not_through_referral
68,2018-06-09 22:26:56,MALE,NA,1983-10-20,Not_through_referral
69,2018-06-05 19:25:43,MALE,NA,2018-06-05,Not_through_referral
70,2018-06-08 13:09:13,MALE,NA,1992-08-13,Not_through_referral
71,2018-06-25 16:32:24,MALE,NA,1998-05-04,Not_through_referral
72,2018-07-10 20:51:15,FEMALE,NA,1997-11-22,Not_through_referral
73,2018-07-04 16:12:17,MALE,NA,1978-07-04,Not_through_referral
74,2018-07-15 20:07:15,MALE,NA,1981-11-04,Installed_through_referral
75,2018-07-20 12:46:23,MALE,NA,2018-06-02,Not_through_referral
76,2018-07-29 17:17:00,MALE,NA,2001-01-27,Not_through_referral
77,2018-08-19 21:15:31,MALE,NA,1991-03-29,Not_through_referral
78,2018-09-13 01:39:41,FEMALE,NA,1991-11-16,Not_through_referral
79,2018-08-21 16:05:31,MALE,NA,2018-08-05,Not_through_referral
80,2018-08-19 08:07:05,MALE,NA,1976-01-28,Not_through_referral
81,2018-08-23 00:48:42,MALE,NA,1998-10-14,Not_through_referral
82,2018-08-19 13:11:41,FEMALE,NA,1999-01-01,Not_through_referral
83,2018-08-29 17:06:52,MALE,NA,1994-01-16,Not_through_referral
84,2018-09-16 18:37:02,FEMALE,NA,1991-12-06,Installed_through_referral
85,2018-09-17 13:03:03,MALE,NA,2018-09-17,Installed_through_referral
86,2018-09-15 12:34:31,FEMALE,NA,1999-09-07,Installed_through_referral
87,2018-09-28 14:36:41,MALE,NA,2018-09-01,Not_through_referral
88,2018-08-16 19:03:41,FEMALE,NA,1994-11-20,Not_through_referral
89,2018-09-17 21:29:21,MALE,NA,1998-06-04,Not_through_referral
90,2018-08-20 23:45:18,MALE,NA,1989-11-03,Not_through_referral
91,2018-08-17 14:05:27,MALE,NA,1999-01-06,Not_through_referral
92,2018-09-11 17:09:16,FEMALE,NA,1999-06-07,Installed_through_referral
93,2018-09-23 11:35:43,MALE,NA,2017-02-04,Not_through_referral
94,2018-08-20 13:30:41,MALE,NA,2018-08-15,Not_through_referral
95,2018-09-01 15:33:30,MALE,NA,1998-02-02,Not_through_referral
96,2018-09-17 10:56:33,MALE,NA,1990-09-17,Not_through_referral
97,2018-09-04 21:59:00,MALE,NA,1995-08-25,Installed_through_referral
98,2018-09-03 18:06:04,MALE,NA,1999-12-11,Not_through_referral
99,2018-08-16 16:21:13,FEMALE,NA,1997-11-08,Installed_through_referral
100,2018-08-21 13:48:39,MALE,NA,2018-08-21,Installed_through_referral
101,2018-08-15 21:52:11,FEMALE,NA,2016-08-28,Not_through_referral
102,2018-08-19 16:44:22,MALE,NA,1997-11-23,Not_through_referral
103,2018-08-27 15:28:14,NA,NA,0000-00-00,Not_through_referral
104,2018-09-17 13:06:02,FEMALE,NA,1993-06-08,Not_through_referral
105,2018-08-26 15:43:33,MALE,NA,1987-11-01,Not_through_referral
106,2018-09-09 18:59:48,MALE,NA,2001-01-08,Installed_through_referral
107,2018-09-22 16:37:36,MALE,NA,1999-05-21,Not_through_referral
108,2018-08-15 23:33:29,MALE,NA,1993-01-03,Not_through_referral
109,2018-08-31 18:19:43,FEMALE,NA,1980-08-31,Not_through_referral
110,2018-06-03 23:30:55,MALE,NA,1989-10-09,Not_through_referral
111,2018-06-07 17:16:24,FEMALE,NA,1997-11-30,Not_through_referral
112,2018-06-04 22:31:32,MALE,NA,2018-06-04,Installed_through_referral
113,2018-06-19 12:20:43,FEMALE,NA,1981-04-17,Not_through_referral
114,2018-06-24 18:24:40,MALE,NA,2018-06-01,Not_through_referral
115,2018-06-27 19:51:58,FEMALE,NA,2018-05-14,Not_through_referral
116,2018-06-28 17:40:22,FEMALE,NA,1987-10-28,Not_through_referral
117,2018-06-24 12:45:37,MALE,NA,1988-07-22,Not_through_referral
118,2018-06-28 04:01:46,MALE,NA,1997-10-06,Not_through_referral
119,2018-07-09 10:41:49,FEMALE,NA,2018-04-04,Not_through_referral
120,2018-07-04 03:07:34,MALE,NA,1995-08-26,Not_through_referral
121,2018-07-18 20:52:58,MALE,NA,1994-07-14,Not_through_referral
122,2018-08-10 10:31:44,MALE,NA,1974-08-10,Installed_through_referral
123,2018-08-04 16:32:57,MALE,NA,1994-08-19,Not_through_referral
124,2018-06-08 13:28:35,MALE,NA,1991-06-08,Not_through_referral
125,2018-06-13 17:45:28,MALE,NA,2018-06-13,Not_through_referral
126,2018-06-13 13:32:06,FEMALE,NA,2018-06-13,Not_through_referral
127,2018-06-27 21:08:33,MALE,NA,1992-07-10,Installed_through_referral
128,2018-07-11 21:27:57,MALE,NA,2002-09-20,Not_through_referral
129,2018-07-04 15:45:51,MALE,NA,2018-07-04,Installed_through_referral
130,2018-07-09 20:20:06,FEMALE,NA,1996-07-09,Installed_through_referral
131,2018-07-12 12:25:35,MALE,NA,1992-07-12,Installed_through_referral
132,2018-07-21 18:23:47,FEMALE,NA,1988-11-28,Not_through_referral
133,2018-07-22 12:36:15,FEMALE,NA,1985-07-06,Not_through_referral
134,2018-07-23 18:20:05,MALE,NA,1999-06-30,Not_through_referral
135,2018-07-27 06:54:29,MALE,NA,1999-11-17,Not_through_referral
136,2018-07-27 18:02:18,MALE,NA,1990-10-14,Not_through_referral
137,2018-08-04 12:38:28,FEMALE,NA,1992-04-14,Not_through_referral
138,2018-08-04 13:32:17,MALE,NA,1996-09-05,Installed_through_referral
139,2018-06-01 21:11:15,FEMALE,NA,2001-07-01,Not_through_referral
140,2018-06-15 17:12:02,FEMALE,NA,1996-07-16,Not_through_referral
141,2018-06-21 15:30:06,MALE,NA,1992-12-08,Not_through_referral
142,2018-06-25 19:43:19,MALE,NA,1985-04-22,Not_through_referral
143,2018-06-29 16:12:18,FEMALE,NA,1991-07-01,Installed_through_referral
144,2018-07-12 08:19:19,MALE,NA,2000-11-24,Installed_through_referral
145,2018-07-20 16:00:02,MALE,NA,1997-10-23,Installed_through_referral
146,2018-07-22 18:10:21,FEMALE,NA,2001-01-04,Not_through_referral
147,2018-07-21 08:35:01,MALE,NA,1993-02-26,Not_through_referral
148,2018-07-26 20:25:41,MALE,NA,1995-07-26,Installed_through_referral
149,2018-06-03 17:35:22,MALE,NA,1995-02-01,Not_through_referral
150,2018-06-08 12:55:45,MALE,NA,1993-11-05,Not_through_referral
151,2018-06-08 16:27:05,MALE,NA,1989-05-14,Not_through_referral
152,2018-06-08 20:02:11,MALE,NA,2018-06-08,Installed_through_referral
153,2018-06-10 14:02:57,MALE,NA,2018-06-10,Not_through_referral
154,2018-06-10 16:46:54,MALE,NA,1992-06-06,Not_through_referral
155,2018-06-06 21:11:12,FEMALE,NA,2000-01-24,Not_through_referral
156,2018-06-17 16:24:01,MALE,NA,2018-06-03,Not_through_referral
157,2018-06-25 18:28:58,MALE,NA,1975-10-03,Not_through_referral
158,2018-06-23 16:55:59,MALE,NA,1968-04-26,Not_through_referral
159,2018-06-29 17:03:18,MALE,NA,1983-06-04,Not_through_referral
160,2018-06-29 14:45:47,MALE,NA,1993-06-29,Installed_through_referral
161,2018-06-28 15:40:09,MALE,NA,2018-06-28,Installed_through_referral
162,2018-07-10 18:26:39,FEMALE,NA,1981-07-10,Installed_through_referral
163,2018-07-04 10:43:06,FEMALE,NA,1995-02-23,Not_through_referral
164,2018-07-13 20:21:43,MALE,NA,1993-05-28,Not_through_referral
165,2018-08-02 19:57:36,MALE,NA,1985-02-18,Not_through_referral
166,2018-08-03 00:45:15,MALE,NA,1994-01-04,Not_through_referral
167,2018-07-25 23:50:56,MALE,NA,1999-02-24,Installed_through_referral
168,2018-08-11 20:41:37,MALE,NA,1992-09-16,Installed_through_referral
169,2018-08-12 16:42:31,FEMALE,NA,1991-04-02,Installed_through_referral
170,2018-06-02 20:40:55,MALE,NA,2018-03-11,Not_through_referral
171,2018-06-05 12:47:42,MALE,NA,1990-11-29,Not_through_referral
172,2018-06-22 02:36:24,MALE,NA,1999-06-22,Not_through_referral
173,2018-06-21 23:52:59,FEMALE,NA,1999-06-10,Not_through_referral
174,2018-06-16 15:00:30,MALE,NA,2018-06-12,Not_through_referral
175,2018-06-26 16:03:29,FEMALE,NA,1997-06-30,Not_through_referral
176,2018-06-30 21:13:40,MALE,NA,1992-03-22,Not_through_referral
177,2018-07-05 20:22:42,MALE,NA,1994-03-21,Not_through_referral
178,2018-07-02 23:59:37,MALE,NA,1998-03-23,Not_through_referral
179,2018-07-19 15:08:42,MALE,NA,1993-10-27,Not_through_referral
180,2018-07-20 15:06:13,MALE,NA,1991-08-15,Installed_through_referral
181,2018-07-18 13:16:11,FEMALE,NA,2018-05-04,Not_through_referral
182,2018-07-29 18:25:45,MALE,NA,1997-06-22,Not_through_referral
183,2018-08-12 22:54:10,MALE,NA,1980-09-15,Not_through_referral
184,2018-08-11 21:13:37,FEMALE,NA,1992-10-28,Not_through_referral
185,2018-08-06 10:53:10,MALE,NA,2000-01-12,Not_through_referral
186,2018-08-08 20:01:44,MALE,NA,1960-08-08,Not_through_referral
187,2018-06-07 19:46:28,FEMALE,NA,1995-06-12,Not_through_referral
188,2018-06-08 23:42:16,MALE,NA,1992-11-03,Not_through_referral
189,2018-06-13 00:53:24,MALE,NA,1995-05-18,Not_through_referral
190,2018-06-20 16:37:50,MALE,NA,2018-06-15,Not_through_referral
191,2018-06-16 18:47:41,MALE,NA,1992-02-01,Not_through_referral
192,2018-06-15 18:46:05,FEMALE,NA,1992-06-20,Installed_through_referral
193,2018-06-28 14:23:08,NA,NA,0000-00-00,Not_through_referral
194,2018-07-07 02:03:11,MALE,NA,1994-06-28,Not_through_referral
195,2018-07-10 01:07:16,MALE,NA,1993-03-25,Not_through_referral
196,2018-07-10 18:55:51,NA,NA,0000-00-00,Not_through_referral
197,2018-07-05 16:39:02,FEMALE,NA,2018-05-12,Not_through_referral
198,2018-07-14 00:10:52,MALE,NA,1998-02-14,Not_through_referral
199,2018-07-14 22:38:29,MALE,NA,1991-09-19,Installed_through_referral
200,2018-07-20 12:39:41,MALE,NA,2018-07-20,Installed_through_referral
201,2018-07-26 04:49:50,MALE,NA,2018-07-26,Not_through_referral
202,2018-08-05 18:07:58,MALE,NA,1999-10-26,Not_through_referral
203,2018-08-09 13:30:58,MALE,NA,1994-02-06,Not_through_referral
204,2018-08-14 13:20:30,MALE,NA,2018-08-14,Installed_through_referral
205,2018-06-10 14:04:39,MALE,NA,2018-05-28,Not_through_referral
206,2018-06-05 10:58:49,MALE,NA,2013-12-04,Not_through_referral
207,2018-06-04 16:39:09,MALE,NA,2018-06-04,Installed_through_referral
208,2018-06-12 21:58:44,MALE,NA,2018-06-12,Installed_through_referral
209,2018-06-16 18:44:47,MALE,NA,1986-02-28,Not_through_referral
210,2018-06-23 16:56:54,MALE,NA,2018-06-23,Installed_through_referral
211,2018-06-24 14:06:33,FEMALE,NA,1987-05-10,Not_through_referral
212,2018-06-23 18:02:37,MALE,NA,1999-06-09,Not_through_referral
213,2018-06-26 03:03:37,FEMALE,NA,1995-07-03,Installed_through_referral
214,2018-06-28 13:13:12,MALE,NA,2016-06-28,Not_through_referral
215,2018-06-30 12:34:18,MALE,NA,1999-04-19,Installed_through_referral
216,2018-07-02 18:32:23,MALE,NA,1996-06-01,Installed_through_referral
217,2018-07-10 22:18:03,MALE,NA,1985-09-15,Not_through_referral
218,2018-07-07 23:55:37,MALE,NA,1994-07-07,Installed_through_referral
219,2018-07-09 22:34:13,MALE,NA,1996-10-21,Not_through_referral
220,2018-07-06 16:17:32,MALE,NA,1994-01-27,Installed_through_referral
221,2018-07-09 18:20:57,MALE,NA,1986-10-09,Installed_through_referral
222,2018-07-15 15:21:19,MALE,NA,2000-01-13,Not_through_referral
223,2018-07-30 02:00:10,MALE,NA,1990-02-12,Installed_through_referral
224,2018-08-13 11:20:08,FEMALE,NA,1992-10-19,Not_through_referral
225,2018-08-06 00:55:05,MALE,NA,1990-08-06,Installed_through_referral
226,2018-08-09 00:46:39,MALE,NA,1994-08-26,Not_through_referral
227,2018-06-02 16:15:54,MALE,NA,1998-05-22,Not_through_referral
228,2018-06-10 15:45:09,FEMALE,NA,2018-06-10,Not_through_referral
229,2018-06-17 23:58:04,MALE,NA,1992-06-09,Not_through_referral
230,2018-06-24 20:28:05,MALE,NA,1993-12-04,Not_through_referral
231,2018-06-26 20:06:05,FEMALE,NA,1996-02-17,Not_through_referral
232,2018-06-29 15:54:34,FEMALE,NA,1995-12-15,Not_through_referral
233,2018-07-06 18:35:19,MALE,NA,1988-07-29,Not_through_referral
234,2018-07-06 14:14:22,MALE,NA,1999-01-20,Installed_through_referral
235,2018-07-13 20:49:30,MALE,NA,1990-03-01,Not_through_referral
236,2018-07-18 13:01:00,MALE,NA,1985-08-23,Not_through_referral
237,2018-07-24 16:06:19,MALE,NA,1992-07-24,Not_through_referral
238,2018-08-10 13:28:22,FEMALE,NA,1996-12-28,Installed_through_referral
239,2018-08-05 15:15:19,MALE,NA,1995-06-10,Not_through_referral
240,2018-06-02 19:38:25,MALE,NA,2018-06-02,Installed_through_referral
241,2018-06-05 13:08:37,MALE,NA,1980-07-12,Not_through_referral
242,2018-06-13 16:04:04,FEMALE,NA,1983-02-24,Not_through_referral
243,2018-06-17 01:27:21,MALE,NA,2018-03-01,Not_through_referral
244,2018-06-19 12:31:11,FEMALE,NA,1997-09-30,Installed_through_referral
245,2018-06-26 16:54:40,FEMALE,NA,1999-07-24,Not_through_referral
246,2018-06-27 10:48:54,MALE,NA,1999-03-15,Not_through_referral
247,2018-06-28 08:46:34,MALE,NA,1994-06-28,Installed_through_referral
248,2018-07-24 19:51:48,MALE,NA,1993-03-13,Installed_through_referral
249,2018-08-06 20:45:51,MALE,NA,1989-04-18,Not_through_referral
250,2018-06-06 14:44:45,MALE,NA,1985-05-31,Not_through_referral
251,2018-06-12 19:21:02,MALE,NA,2018-06-12,Installed_through_referral
252,2018-06-20 20:51:08,MALE,NA,1995-03-12,Not_through_referral
253,2018-06-21 00:33:48,MALE,NA,1998-10-19,Not_through_referral
254,2018-06-16 18:55:48,FEMALE,NA,1996-06-08,Not_through_referral
255,2018-06-20 17:01:17,MALE,NA,2018-06-20,Installed_through_referral
256,2018-06-20 21:41:54,FEMALE,NA,1990-05-31,Not_through_referral
257,2018-06-15 13:22:45,MALE,NA,1991-04-16,Not_through_referral
258,2018-06-18 21:00:26,FEMALE,NA,1981-08-30,Not_through_referral
259,2018-07-02 12:28:28,FEMALE,NA,1980-08-17,Not_through_referral
260,2018-07-09 08:45:49,MALE,NA,1976-12-02,Not_through_referral
261,2018-07-02 10:18:06,MALE,NA,1998-12-25,Not_through_referral
262,2018-07-01 20:13:07,MALE,NA,1997-08-08,Not_through_referral
263,2018-07-14 16:20:53,MALE,NA,1984-08-10,Installed_through_referral
264,2018-07-15 15:08:26,MALE,NA,1988-12-25,Not_through_referral
265,2018-07-19 22:46:23,MALE,NA,2018-07-16,Installed_through_referral
266,2018-07-30 22:37:23,FEMALE,NA,1990-03-29,Installed_through_referral
267,2018-08-09 13:40:19,MALE,NA,1996-09-09,Not_through_referral
268,2018-08-10 22:48:16,MALE,NA,1991-08-05,Installed_through_referral
269,2018-08-05 14:03:15,MALE,NA,1973-07-21,Not_through_referral
270,2018-08-13 16:49:48,MALE,NA,1998-05-14,Not_through_referral
271,2018-08-22 16:06:30,MALE,NA,1997-03-24,Not_through_referral
272,2018-08-31 16:09:41,FEMALE,NA,1995-02-11,Installed_through_referral
273,2018-09-01 20:15:59,MALE,NA,2000-12-06,Not_through_referral
274,2018-09-05 09:23:36,MALE,NA,1999-02-01,Not_through_referral
275,2018-09-05 20:15:21,FEMALE,NA,1998-07-11,Not_through_referral
276,2018-09-17 15:03:16,MALE,NA,1998-03-03,Not_through_referral
277,2018-08-15 23:00:39,MALE,NA,1996-09-26,Not_through_referral
278,2018-08-24 17:11:51,FEMALE,NA,2018-08-24,Not_through_referral
279,2018-08-26 02:33:11,MALE,NA,1997-05-17,Not_through_referral
280,2018-08-25 16:39:26,NA,NA,0000-00-00,Not_through_referral
281,2018-09-13 11:17:02,MALE,NA,1991-11-09,Not_through_referral
282,2018-09-13 19:15:06,MALE,NA,2018-09-13,Installed_through_referral
283,2018-09-23 07:14:49,MALE,NA,2000-11-30,Not_through_referral
284,2018-08-20 10:07:49,MALE,NA,1994-10-01,Installed_through_referral
285,2018-08-31 18:11:48,MALE,NA,1990-09-20,Installed_through_referral
286,2018-08-24 18:51:59,MALE,NA,1993-06-11,Installed_through_referral
287,2018-08-25 16:59:29,FEMALE,NA,1966-06-08,Installed_through_referral
288,2018-08-22 21:47:33,MALE,NA,1995-09-26,Installed_through_referral
289,2018-08-25 13:52:31,MALE,NA,2018-08-15,Not_through_referral
290,2018-08-26 18:27:43,MALE,NA,1996-12-15,Installed_through_referral
291,2018-09-20 18:54:20,MALE,NA,1980-04-08,Not_through_referral
292,2018-09-14 17:22:20,NA,NA,0000-00-00,Not_through_referral
293,2018-09-10 18:45:31,MALE,NA,2018-09-10,Installed_through_referral
294,2018-09-29 20:45:55,FEMALE,NA,2003-06-25,Installed_through_referral
295,2018-08-17 07:45:03,FEMALE,NA,1980-01-17,Not_through_referral
296,2018-09-02 13:06:20,MALE,NA,1998-06-06,Not_through_referral
297,2018-09-02 12:37:51,MALE,NA,1998-12-14,Not_through_referral
298,2018-09-02 21:23:20,MALE,NA,1994-10-08,Installed_through_referral
299,2018-09-02 18:19:55,MALE,NA,1994-06-05,Not_through_referral
300,2018-08-25 19:09:39,MALE,NA,2001-06-23,Installed_through_referral
301,2018-09-02 19:47:37,MALE,NA,1997-10-18,Installed_through_referral
302,2018-09-02 19:21:35,MALE,NA,2018-09-02,Not_through_referral
303,2018-09-17 09:14:37,FEMALE,NA,1998-09-17,Installed_through_referral
304,2018-09-17 16:50:59,MALE,NA,1996-06-18,Not_through_referral
305,2018-09-16 13:07:17,MALE,NA,1999-09-16,Not_through_referral
306,2018-08-17 18:38:27,MALE,NA,1981-07-05,Not_through_referral
307,2018-09-14 17:53:39,MALE,NA,2018-09-05,Not_through_referral
308,2018-08-16 16:12:57,MALE,NA,2018-08-16,Installed_through_referral
309,2018-08-15 14:29:48,MALE,NA,2000-06-29,Installed_through_referral
310,2018-08-24 19:33:40,MALE,NA,2000-10-01,Installed_through_referral
311,2018-09-09 16:42:09,MALE,NA,2018-09-09,Not_through_referral
312,2018-09-21 10:24:48,MALE,NA,1974-05-08,Not_through_referral
313,2018-09-24 16:52:42,MALE,NA,1996-03-21,Installed_through_referral
314,2018-08-15 17:31:53,FEMALE,NA,1996-07-18,Not_through_referral
315,2018-08-17 20:45:02,MALE,NA,1997-04-29,Not_through_referral
316,2018-08-24 12:06:49,MALE,NA,1996-04-04,Not_through_referral
317,2018-08-25 15:02:14,FEMALE,NA,1999-08-11,Not_through_referral
318,2018-09-05 19:37:30,MALE,NA,1993-03-10,Installed_through_referral
319,2018-09-06 13:52:31,MALE,NA,1996-05-21,Not_through_referral
320,2018-08-28 22:58:32,MALE,NA,1987-09-06,Not_through_referral
321,2018-06-03 22:32:03,MALE,NA,2018-03-01,Not_through_referral
322,2018-06-16 11:27:27,MALE,NA,1982-03-11,Not_through_referral
323,2018-06-14 16:29:48,MALE,NA,2018-06-14,Not_through_referral
324,2018-06-28 13:59:16,MALE,NA,2000-10-10,Not_through_referral
325,2018-06-24 21:40:50,MALE,NA,1996-11-24,Not_through_referral
326,2018-07-07 21:51:03,MALE,NA,1991-07-07,Not_through_referral
327,2018-07-12 21:59:43,NA,NA,0000-00-00,Not_through_referral
328,2018-07-15 14:20:02,FEMALE,NA,1997-01-21,Installed_through_referral
329,2018-07-30 17:01:02,MALE,NA,1991-05-24,Installed_through_referral
330,2018-07-31 15:29:54,MALE,NA,2000-09-17,Not_through_referral
331,2018-06-03 10:04:08,FEMALE,NA,1996-08-13,Not_through_referral
332,2018-06-08 12:04:19,MALE,NA,2018-06-08,Not_through_referral
333,2018-06-09 17:21:46,FEMALE,NA,1977-08-03,Installed_through_referral
334,2018-06-06 13:05:38,MALE,NA,1999-06-07,Not_through_referral
335,2018-06-13 13:31:14,MALE,NA,1994-09-20,Not_through_referral
336,2018-06-13 21:48:13,MALE,NA,1994-06-29,Not_through_referral
337,2018-06-21 02:29:51,MALE,NA,1991-02-22,Not_through_referral
338,2018-06-14 13:05:32,MALE,NA,1981-02-01,Not_through_referral
339,2018-07-01 11:28:31,MALE,NA,2018-07-01,Not_through_referral
340,2018-06-23 11:36:55,MALE,NA,2004-08-21,Not_through_referral
341,2018-06-29 17:47:29,MALE,NA,1994-04-04,Not_through_referral
342,2018-07-07 16:27:30,FEMALE,NA,2018-07-05,Not_through_referral
343,2018-07-08 10:54:36,MALE,NA,2018-07-01,Not_through_referral
344,2018-07-01 18:33:22,MALE,NA,1996-07-29,Not_through_referral
345,2018-07-14 13:33:55,MALE,NA,1999-09-22,Not_through_referral
346,2018-07-21 18:38:37,MALE,NA,1990-05-25,Not_through_referral
347,2018-07-24 13:41:58,FEMALE,NA,1993-03-15,Installed_through_referral
348,2018-08-12 19:57:16,FEMALE,NA,1995-09-13,Installed_through_referral
349,2018-08-08 14:03:21,MALE,NA,1985-04-07,Not_through_referral
350,2018-08-05 20:12:31,MALE,NA,1989-04-07,Not_through_referral
351,2018-08-07 09:02:31,MALE,NA,2001-06-24,Installed_through_referral
352,2018-06-01 15:13:13,MALE,NA,1995-05-01,Not_through_referral
353,2018-06-06 00:40:30,MALE,NA,2009-03-18,Installed_through_referral
354,2018-06-11 17:58:02,FEMALE,NA,2018-06-13,Not_through_referral
355,2018-06-17 20:11:55,FEMALE,NA,2018-06-17,Not_through_referral
356,2018-06-23 16:35:16,FEMALE,NA,1994-04-01,Installed_through_referral
357,2018-07-15 20:28:12,MALE,NA,2018-07-15,Not_through_referral
358,2018-07-26 17:45:20,MALE,NA,1981-08-16,Installed_through_referral
359,2018-08-01 17:17:51,FEMALE,NA,1994-02-01,Not_through_referral
360,2018-08-03 14:03:14,MALE,NA,2018-08-03,Not_through_referral
361,2018-07-30 13:19:30,MALE,NA,2018-07-16,Not_through_referral
362,2018-07-25 20:46:06,MALE,NA,1965-03-21,Not_through_referral
363,2018-07-29 14:33:48,FEMALE,NA,1987-02-03,Installed_through_referral
364,2018-07-25 15:13:08,MALE,NA,2018-07-25,Not_through_referral
365,2018-08-04 02:51:15,MALE,NA,1990-08-04,Installed_through_referral
366,2018-08-08 11:01:50,MALE,NA,1999-12-07,Installed_through_referral
367,2018-06-10 13:51:50,MALE,NA,1988-11-17,Not_through_referral
368,2018-06-06 17:57:40,MALE,NA,1986-02-02,Not_through_referral
